----------MST de custo 1805.840000---------
Pai	Filho
9843	2
2656	3
8200	4
6002	5
2542	6
7457	7
865	8
9923	9
9801	10
9629	11
6351	12
512	13
1915	14
7140	15
7407	16
193	17
9023	18
9193	19
9865	20
7615	21
3882	22
9872	23
9960	24
8841	25
1535	26
2592	27
962	28
4524	29
8235	30
9318	31
490	32
7545	33
9660	34
2907	35
1502	36
4627	37
8433	38
2716	39
7287	40
6462	41
3046	42
5554	43
4598	44
1618	45
5045	46
5675	47
3253	48
9953	49
5369	50
3666	51
5145	52
7605	53
9421	54
2431	55
6182	56
4803	57
6141	58
8424	59
8955	60
1377	61
8211	62
5741	63
4883	64
3764	65
5405	66
3752	67
6314	68
432	69
9085	70
2372	71
9488	72
9764	73
1392	74
2879	75
8011	76
2309	77
7303	78
887	79
1424	80
7407	81
9138	82
6040	83
1054	84
450	85
6453	86
7676	87
611	88
5534	89
1590	90
3899	91
8872	92
3916	93
8903	94
3580	95
9889	96
5229	97
1419	98
5077	99
4555	100
944	101
3380	102
2611	103
5936	104
9193	105
3420	106
8587	107
2256	108
251	109
1759	110
5539	111
4864	112
7492	113
6576	114
3013	115
9598	116
4801	117
8269	118
8338	119
6301	120
332	121
4239	122
7439	123
7236	124
5198	125
4831	126
2057	127
9087	128
2346	129
4379	130
1683	131
8959	132
5858	133
2753	134
7055	135
6982	136
8232	137
2121	138
3133	139
5734	140
2952	141
8378	142
5578	143
7157	144
8896	145
5392	146
9693	147
9664	148
521	149
1783	150
1960	151
3538	152
439	153
2277	154
7754	155
1498	156
5378	157
6372	158
6194	159
6780	160
1842	161
2616	162
3569	163
4434	164
7594	165
3027	166
1007	167
803	168
3252	169
9235	170
3893	171
3601	172
7682	173
4835	174
409	175
4674	176
8778	177
5455	178
3037	179
9494	180
5011	181
4225	182
2869	183
477	184
9410	185
1932	186
7718	187
6396	188
5395	189
3739	190
6091	191
9841	192
2887	193
151	194
651	195
5993	196
9430	197
5560	198
7010	199
814	200
6681	201
6885	202
2441	203
2792	204
6098	205
9844	206
5904	207
3315	208
3959	209
604	210
9056	211
9005	212
6990	213
582	214
4688	215
2490	216
1480	217
9848	218
3489	219
1957	220
3966	221
3432	222
5982	223
5424	224
5531	225
2349	226
3450	227
4918	228
126	229
971	230
7241	231
1402	232
9314	233
3525	234
5209	235
933	236
4804	237
6720	238
3657	239
7436	240
5674	241
2336	242
5535	243
5190	244
4762	245
5734	246
3712	247
6764	248
5840	249
2992	250
109	251
2757	252
5561	253
1940	254
6137	255
6756	256
5436	257
7293	258
9499	259
7727	260
9622	261
502	262
2065	263
6179	264
4919	265
8762	266
4467	267
3208	268
8763	269
800	270
7157	271
1834	272
5951	273
4389	274
7514	275
193	276
4928	277
582	278
2391	279
7201	280
7506	281
3084	282
8686	283
6625	284
643	285
1638	286
4261	287
6577	288
5715	289
1435	290
5009	291
6602	292
8252	293
505	294
5941	295
6959	296
1317	297
1484	298
1670	299
1631	300
5955	301
32	302
6829	303
8356	304
622	305
9565	306
6597	307
7899	308
3198	309
6834	310
2732	311
5929	312
808	313
793	314
1703	315
1667	316
2457	317
6527	318
1207	319
6632	320
9271	321
7540	322
9557	323
1227	324
1836	325
7909	326
8851	327
8858	328
5224	329
4924	330
6387	331
121	332
8076	333
7186	334
9960	335
5149	336
6447	337
1111	338
6051	339
7280	340
1238	341
5420	342
8266	343
1182	344
3110	345
4750	346
6109	347
8284	348
2234	349
7014	350
9019	351
6044	352
7367	353
1799	354
4129	355
9230	356
453	357
8911	358
7392	359
6282	360
7845	361
9211	362
5368	363
4434	364
6855	365
2308	366
2400	367
4714	368
6290	369
8978	370
2089	371
2783	372
4785	373
1288	374
2015	375
960	376
7070	377
7759	378
2511	379
9243	380
8227	381
5134	382
9249	383
1767	384
4133	385
7443	386
5729	387
4881	388
9486	389
3634	390
6800	391
8962	392
5449	393
2153	394
5130	395
134	396
8762	397
6800	398
6830	399
4486	400
1561	401
5133	402
6838	403
8557	404
1382	405
8235	406
1924	407
3737	408
175	409
3701	410
1354	411
1751	412
9416	413
2324	414
2320	415
6614	416
6430	417
1376	418
2525	419
6417	420
6182	421
4995	422
7908	423
6731	424
4256	425
6160	426
8214	427
1448	428
5683	429
91	430
6735	431
69	432
5597	433
5382	434
8553	435
1358	436
1436	437
857	438
153	439
8141	440
948	441
8160	442
8105	443
8282	444
5994	445
2697	446
644	447
9316	448
3175	449
2252	450
1314	451
2168	452
2428	453
1029	454
7425	455
4750	456
3051	457
936	458
2065	459
9940	460
702	461
9295	462
8634	463
4672	464
2997	465
4443	466
7119	467
5505	468
7634	469
4598	470
3102	471
8401	472
3711	473
4921	474
2675	475
8636	476
184	477
7923	478
7603	479
9659	480
8054	481
5784	482
3808	483
1031	484
7460	485
5282	486
5571	487
573	488
3161	489
498	490
1450	491
6334	492
4275	493
5968	494
8484	495
9542	496
6342	497
3920	498
795	499
2026	500
7986	501
9281	502
6648	503
4577	504
5308	505
7794	506
5446	507
1177	508
8324	509
8051	510
6247	511
6525	512
6614	513
8659	514
4221	515
6279	516
3869	517
7640	518
4492	519
3954	520
5472	521
8346	522
6599	523
6750	524
9416	525
5290	526
2795	527
1005	528
593	529
946	530
6720	531
4752	532
5595	533
4887	534
4981	535
8947	536
8377	537
8589	538
6725	539
7315	540
9820	541
9049	542
8390	543
7383	544
4887	545
6624	546
965	547
478	548
8281	549
7949	550
2681	551
4984	552
8273	553
5873	554
3685	555
1912	556
5217	557
5571	558
5053	559
5009	560
5033	561
547	562
3197	563
4143	564
4972	565
6512	566
7285	567
7174	568
2948	569
4275	570
6403	571
7262	572
634	573
945	574
866	575
6432	576
6701	577
5669	578
1308	579
2148	580
8179	581
278	582
9177	583
2558	584
1327	585
9752	586
9954	587
6205	588
6129	589
5808	590
5034	591
8247	592
3325	593
9737	594
9400	595
980	596
5856	597
2890	598
1065	599
7936	600
9953	601
4836	602
1101	603
210	604
676	605
2381	606
3687	607
5871	608
4582	609
5050	610
88	611
912	612
7904	613
96	614
930	615
4041	616
8028	617
5456	618
4203	619
3832	620
4121	621
3173	622
9452	623
4397	624
4757	625
4213	626
3774	627
6812	628
2612	629
6866	630
5052	631
8467	632
2536	633
573	634
9349	635
98	636
8723	637
8348	638
693	639
7788	640
3765	641
2131	642
2393	643
5280	644
9936	645
1910	646
9907	647
1784	648
1526	649
2263	650
195	651
2941	652
7172	653
2206	654
7597	655
6904	656
4683	657
2855	658
1737	659
1130	660
3091	661
2300	662
1640	663
2288	664
9963	665
1243	666
886	667
8562	668
3964	669
4814	670
8554	671
4581	672
6366	673
8985	674
2390	675
7198	676
4067	677
6440	678
6801	679
7271	680
6255	681
5375	682
2805	683
7676	684
1103	685
5069	686
7449	687
3162	688
5814	689
5640	690
7401	691
1209	692
639	693
8789	694
1463	695
3494	696
1939	697
7942	698
6424	699
419	700
289	701
5728	702
990	703
1823	704
4039	705
4545	706
9863	707
2418	708
1351	709
6921	710
9863	711
6001	712
4108	713
8623	714
1287	715
9026	716
1821	717
2402	718
1279	719
1447	720
1082	721
7413	722
7520	723
1804	724
4177	725
8154	726
4588	727
3049	728
9654	729
5301	730
2071	731
8396	732
9521	733
8209	734
314	735
4946	736
7248	737
2856	738
9182	739
9465	740
1055	741
2821	742
1911	743
3571	744
6465	745
9618	746
9939	747
5966	748
2638	749
1049	750
2470	751
7593	752
9790	753
6154	754
763	755
2390	756
1534	757
1530	758
3308	759
4131	760
1624	761
9336	762
755	763
9700	764
3027	765
6266	766
6296	767
2752	768
3588	769
1914	770
5089	771
4896	772
5433	773
2070	774
893	775
5109	776
3085	777
6124	778
1821	779
6649	780
4615	781
7143	782
2588	783
4782	784
1158	785
7959	786
7287	787
7153	788
3807	789
5451	790
3031	791
8346	792
314	793
9604	794
499	795
7320	796
7571	797
9286	798
56	799
270	800
6881	801
4973	802
168	803
7966	804
1181	805
2131	806
3255	807
6310	808
5877	809
6473	810
9102	811
7583	812
432	813
4562	814
3231	815
8840	816
1800	817
6015	818
1432	819
9135	820
7993	821
4148	822
7172	823
1008	824
8905	825
4493	826
6140	827
7286	828
3363	829
5036	830
5481	831
4028	832
9500	833
4449	834
9347	835
9751	836
9136	837
7994	838
5640	839
3604	840
8390	841
1161	842
9535	843
8371	844
8208	845
1554	846
4213	847
5372	848
3957	849
2470	850
6959	851
9498	852
1939	853
2085	854
1212	855
8542	856
438	857
6727	858
1184	859
1450	860
940	861
892	862
3139	863
8480	864
9527	865
575	866
2596	867
8822	868
3708	869
1127	870
2083	871
929	872
5647	873
1477	874
1944	875
4338	876
3796	877
7765	878
3941	879
3609	880
9124	881
1797	882
1262	883
7872	884
5334	885
825	886
79	887
1338	888
959	889
1376	890
5665	891
2217	892
775	893
3569	894
5715	895
479	896
3334	897
7941	898
5045	899
7890	900
4902	901
1838	902
7391	903
2224	904
2980	905
5080	906
6559	907
5158	908
428	909
9952	910
9659	911
612	912
3793	913
6789	914
2547	915
9542	916
2119	917
3528	918
8727	919
835	920
4095	921
1294	922
2698	923
4173	924
7444	925
8686	926
4156	927
6751	928
7365	929
615	930
3104	931
5434	932
1765	933
3119	934
9602	935
7702	936
8884	937
8091	938
4998	939
1576	940
6214	941
2077	942
8856	943
950	944
4295	945
6702	946
3128	947
441	948
5968	949
8668	950
7761	951
2876	952
4849	953
9373	954
4469	955
6864	956
5536	957
4790	958
4536	959
376	960
8240	961
4688	962
9812	963
2031	964
2229	965
3357	966
8176	967
2165	968
5364	969
7948	970
230	971
4219	972
5880	973
7160	974
7332	975
9945	976
7461	977
9697	978
6491	979
4454	980
5863	981
8993	982
7991	983
4657	984
6853	985
8163	986
7596	987
3421	988
7453	989
703	990
2483	991
3735	992
6757	993
9722	994
8433	995
1571	996
3935	997
6725	998
6961	999
1911	1000
7947	1001
2258	1002
1734	1003
3284	1004
8632	1005
1868	1006
1024	1007
824	1008
7	1009
1788	1010
5315	1011
3054	1012
6047	1013
4554	1014
5900	1015
7733	1016
1038	1017
3381	1018
5313	1019
8044	1020
5926	1021
9535	1022
5709	1023
1007	1024
2270	1025
7018	1026
8180	1027
2257	1028
454	1029
11	1030
484	1031
1299	1032
2945	1033
9911	1034
2520	1035
5772	1036
8746	1037
2985	1038
7292	1039
6936	1040
5753	1041
5011	1042
7655	1043
9520	1044
3116	1045
2219	1046
6931	1047
1325	1048
750	1049
4379	1050
8507	1051
9254	1052
9752	1053
84	1054
741	1055
7546	1056
8125	1057
8797	1058
1143	1059
9503	1060
8575	1061
8081	1062
6816	1063
8709	1064
4773	1065
5557	1066
6412	1067
6006	1068
6347	1069
4676	1070
7739	1071
2937	1072
1356	1073
7675	1074
9565	1075
7787	1076
3353	1077
8461	1078
701	1079
8108	1080
4534	1081
1165	1082
6887	1083
3295	1084
3982	1085
6164	1086
6459	1087
1785	1088
7223	1089
2035	1090
1466	1091
8784	1092
6723	1093
7577	1094
3156	1095
1099	1096
7675	1097
480	1098
3115	1099
8512	1100
6306	1101
5866	1102
7213	1103
9803	1104
9719	1105
6426	1106
4394	1107
3840	1108
9409	1109
2957	1110
2136	1111
8626	1112
9522	1113
4598	1114
7227	1115
4832	1116
2813	1117
477	1118
7934	1119
321	1120
2191	1121
24	1122
1500	1123
9373	1124
4582	1125
8944	1126
8072	1127
5287	1128
7837	1129
9681	1130
5270	1131
6158	1132
6696	1133
8037	1134
5296	1135
1831	1136
1399	1137
7990	1138
754	1139
6380	1140
1713	1141
9198	1142
1539	1143
9786	1144
8231	1145
1523	1146
3926	1147
5258	1148
6857	1149
3966	1150
3728	1151
1644	1152
1746	1153
1725	1154
3541	1155
5305	1156
2873	1157
9537	1158
2191	1159
6416	1160
842	1161
4635	1162
205	1163
3845	1164
1082	1165
3718	1166
251	1167
1219	1168
8977	1169
6172	1170
5591	1171
9487	1172
5652	1173
7305	1174
8690	1175
4028	1176
6233	1177
5071	1178
4146	1179
3244	1180
8195	1181
3964	1182
9446	1183
859	1184
9566	1185
9965	1186
4131	1187
9160	1188
6354	1189
6060	1190
4852	1191
6748	1192
3012	1193
