----------MST de custo 18352.430000---------
Pai	Filho
14104	2
70861	3
19260	4
8908	5
52763	6
22870	7
99580	8
61740	9
59986	10
68725	11
25357	12
7892	13
85079	14
85458	15
19206	16
14140	17
19226	18
46	19
74389	20
27440	21
74397	22
80994	23
54694	24
80041	25
70894	26
94244	27
31101	28
65649	29
29572	30
33246	31
82790	32
88152	33
27822	34
7993	35
2650	36
32059	37
73807	38
28591	39
27549	40
50002	41
86578	42
79723	43
28448	44
16794	45
18134	46
11791	47
19169	48
63301	49
82993	50
89	51
97194	52
94805	53
48482	54
38158	55
82321	56
61743	57
16387	58
98148	59
60841	60
84347	61
11981	62
52939	63
74512	64
35076	65
86422	66
84110	67
75338	68
24074	69
95627	70
17404	71
3108	72
99283	73
86189	74
31866	75
92115	76
49300	77
95290	78
23794	79
62155	80
11372	81
96103	82
32941	83
72806	84
4967	85
58789	86
98647	87
36283	88
86213	89
70444	90
98159	91
55216	92
82482	93
8619	94
88315	95
75327	96
32384	97
24602	98
57471	99
43862	100
30701	101
2097	102
98646	103
57559	104
86538	105
34134	106
75064	107
37558	108
52294	109
80998	110
89830	111
92883	112
52502	113
3593	114
84248	115
32298	116
2289	117
62830	118
38617	119
45733	120
20557	121
89434	122
63591	123
54136	124
46608	125
83592	126
62074	127
93316	128
21932	129
23936	130
54118	131
25062	132
19674	133
46003	134
7712	135
39264	136
76868	137
92525	138
77577	139
38903	140
70180	141
18571	142
87856	143
70820	144
47108	145
28333	146
81987	147
53842	148
77171	149
76124	150
25868	151
73768	152
57245	153
3687	154
21727	155
45113	156
15385	157
49476	158
95122	159
42488	160
78481	161
96971	162
52567	163
8299	164
58424	165
43767	166
75994	167
91337	168
98687	169
50677	170
8275	171
97254	172
38713	173
4408	174
28150	175
15835	176
64765	177
19607	178
65458	179
71205	180
12468	181
70842	182
14863	183
35366	184
25011	185
55657	186
93534	187
79473	188
13621	189
66933	190
78525	191
81468	192
20470	193
587	194
62634	195
7417	196
16076	197
58060	198
66780	199
59465	200
14260	201
58223	202
63786	203
21370	204
35391	205
19770	206
642	207
94075	208
33092	209
92161	210
43490	211
77872	212
11572	213
24852	214
56918	215
34488	216
11554	217
6369	218
13731	219
19158	220
97386	221
87303	222
14946	223
10025	224
90687	225
18616	226
25859	227
93903	228
56188	229
65883	230
22695	231
75891	232
28106	233
15697	234
30273	235
12432	236
66151	237
97075	238
9092	239
81096	240
20330	241
50182	242
62046	243
85901	244
62883	245
62705	246
26168	247
26514	248
29292	249
26218	250
30223	251
85446	252
49471	253
93264	254
62147	255
89501	256
64791	257
73477	258
30584	259
92230	260
22387	261
68461	262
71891	263
55362	264
11915	265
11862	266
82958	267
52852	268
38653	269
44765	270
49660	271
24976	272
4506	273
89198	274
67941	275
10060	276
73382	277
25724	278
78013	279
79344	280
53088	281
45911	282
89084	283
85837	284
94711	285
79338	286
7517	287
63049	288
52236	289
1976	290
58502	291
33311	292
44507	293
27949	294
13041	295
26294	296
37359	297
85101	298
25178	299
1926	300
62849	301
6480	302
64746	303
36213	304
49659	305
5010	306
69500	307
95780	308
37568	309
68840	310
42149	311
69607	312
95273	313
89556	314
18771	315
21894	316
38887	317
69003	318
63179	319
97168	320
60306	321
24811	322
13198	323
2686	324
18048	325
23223	326
35479	327
30952	328
78985	329
36417	330
2152	331
68092	332
45136	333
81476	334
17062	335
98667	336
25699	337
89232	338
72478	339
52643	340
85010	341
2231	342
59064	343
94097	344
73008	345
37633	346
74140	347
51506	348
89602	349
73426	350
72256	351
49211	352
10640	353
75673	354
13015	355
61499	356
65509	357
58654	358
57503	359
14602	360
27555	361
94084	362
56971	363
52224	364
34133	365
77157	366
66066	367
73872	368
9312	369
14023	370
32850	371
73376	372
88965	373
18482	374
27311	375
50758	376
93130	377
63321	378
50462	379
95946	380
54200	381
51380	382
5851	383
47981	384
55830	385
44316	386
82564	387
41143	388
13091	389
53117	390
10503	391
55107	392
32494	393
86635	394
56169	395
49434	396
31118	397
60407	398
43679	399
37161	400
75373	401
96820	402
81965	403
87305	404
74766	405
76299	406
89391	407
59112	408
28268	409
67717	410
65042	411
55588	412
42421	413
40211	414
37026	415
6474	416
36406	417
94358	418
89085	419
89764	420
18094	421
52079	422
38585	423
47889	424
1719	425
3251	426
15252	427
91735	428
82078	429
73864	430
26259	431
15994	432
83041	433
81705	434
89406	435
29057	436
11358	437
34670	438
42894	439
18073	440
13396	441
14366	442
93677	443
50623	444
28482	445
50232	446
56510	447
44564	448
31756	449
78045	450
81079	451
67093	452
72448	453
77919	454
79472	455
49057	456
70939	457
6093	458
31974	459
19953	460
21821	461
20737	462
65886	463
15924	464
66389	465
39876	466
36748	467
15720	468
84066	469
87123	470
58662	471
37354	472
46962	473
28944	474
61025	475
32006	476
2108	477
83682	478
40927	479
43702	480
31709	481
70515	482
83476	483
34016	484
79865	485
48165	486
42045	487
24909	488
86207	489
83002	490
27778	491
89723	492
30170	493
86913	494
22494	495
87359	496
84979	497
42538	498
45601	499
26404	500
56043	501
56015	502
7416	503
1447	504
33230	505
52892	506
25844	507
94701	508
69469	509
90471	510
1151	511
15010	512
87810	513
45165	514
80470	515
48155	516
46829	517
78444	518
24866	519
88125	520
46967	521
85046	522
74602	523
27747	524
42536	525
11530	526
41149	527
64198	528
50240	529
27166	530
344	531
35395	532
69621	533
10041	534
60590	535
15430	536
65424	537
11202	538
4827	539
47462	540
56997	541
69873	542
25974	543
71564	544
574	545
6329	546
13144	547
16923	548
93190	549
44585	550
11931	551
57385	552
61976	553
2252	554
54406	555
84828	556
66595	557
69353	558
21149	559
61981	560
6940	561
41196	562
33764	563
88798	564
9047	565
33362	566
4390	567
44048	568
17562	569
42620	570
52177	571
73551	572
35434	573
28596	574
59130	575
68667	576
61182	577
83164	578
91514	579
63168	580
64893	581
52742	582
474	583
9686	584
4158	585
87240	586
194	587
49104	588
91242	589
76179	590
82988	591
54530	592
70201	593
84608	594
27848	595
43053	596
62611	597
45750	598
67892	599
75485	600
41080	601
71844	602
56785	603
27599	604
72761	605
16118	606
65842	607
71609	608
66391	609
89757	610
21561	611
35591	612
84592	613
46361	614
15746	615
89892	616
17008	617
44793	618
95091	619
58460	620
26414	621
54972	622
32927	623
29079	624
63064	625
67154	626
51862	627
78464	628
77176	629
87056	630
90753	631
40098	632
93507	633
96315	634
66179	635
44176	636
28042	637
3384	638
5898	639
86517	640
94683	641
207	642
77571	643
67924	644
62896	645
35786	646
10654	647
80013	648
51292	649
7841	650
43982	651
11505	652
1751	653
17631	654
34025	655
7165	656
36056	657
98618	658
63400	659
66498	660
30439	661
59811	662
62416	663
94939	664
64072	665
12639	666
88059	667
6034	668
56735	669
95417	670
70245	671
61537	672
56840	673
66732	674
4020	675
17428	676
14163	677
88672	678
85663	679
9950	680
4767	681
96236	682
47173	683
43339	684
62902	685
12806	686
55371	687
67540	688
68112	689
91936	690
57384	691
74461	692
97881	693
31399	694
35477	695
53516	696
96296	697
3062	698
51662	699
36144	700
57988	701
33682	702
56537	703
4613	704
3448	705
45012	706
95457	707
233	708
92445	709
92350	710
2817	711
79238	712
92996	713
78470	714
48719	715
14079	716
61897	717
51056	718
15669	719
66707	720
36718	721
46270	722
24354	723
7532	724
12276	725
71050	726
79199	727
18283	728
10033	729
16952	730
24690	731
75328	732
88482	733
42977	734
39833	735
13541	736
33052	737
81869	738
20138	739
47909	740
39020	741
18278	742
88533	743
8562	744
22663	745
2173	746
11016	747
67920	748
43671	749
33370	750
9698	751
68487	752
96861	753
38403	754
60951	755
42824	756
86559	757
64219	758
4947	759
40026	760
26959	761
4243	762
12807	763
67147	764
94868	765
38625	766
2622	767
27527	768
19567	769
52557	770
23919	771
95220	772
1971	773
94452	774
91855	775
2398	776
14408	777
39838	778
59675	779
61475	780
90192	781
2122	782
89270	783
5699	784
66646	785
63868	786
66519	787
90206	788
61106	789
69214	790
97034	791
77263	792
61876	793
14131	794
40374	795
16052	796
86227	797
90737	798
57441	799
4468	800
75383	801
77341	802
2447	803
93544	804
34645	805
35949	806
98511	807
94917	808
76923	809
34328	810
27867	811
66249	812
43316	813
27322	814
33172	815
43249	816
39188	817
54221	818
12472	819
17371	820
18533	821
48498	822
5485	823
59400	824
14349	825
27566	826
81407	827
11815	828
30593	829
59699	830
70851	831
82132	832
49501	833
34392	834
46335	835
62165	836
97880	837
97845	838
98978	839
13567	840
56814	841
35459	842
2944	843
69022	844
91503	845
59383	846
57296	847
79890	848
71015	849
2094	850
15736	851
66242	852
4344	853
59961	854
24345	855
55951	856
8645	857
3604	858
25256	859
5631	860
17059	861
9686	862
92413	863
36830	864
9291	865
39004	866
24292	867
80651	868
78408	869
11859	870
22225	871
4640	872
7994	873
45113	874
27189	875
79208	876
9382	877
32875	878
68248	879
27732	880
48891	881
63825	882
17345	883
96960	884
9492	885
96798	886
43306	887
24928	888
76274	889
57786	890
14443	891
99804	892
73621	893
26203	894
98982	895
1839	896
73987	897
74027	898
60894	899
76478	900
59578	901
87328	902
46542	903
45736	904
20612	905
81754	906
38360	907
73354	908
4206	909
97955	910
6254	911
31555	912
16194	913
57328	914
90145	915
12336	916
74967	917
33583	918
94606	919
82883	920
95850	921
42669	922
67597	923
66073	924
52086	925
61657	926
25552	927
22544	928
49114	929
99363	930
93607	931
63949	932
51734	933
11119	934
18291	935
65576	936
80164	937
99595	938
63668	939
70836	940
26216	941
75552	942
3910	943
52468	944
74308	945
51031	946
60792	947
38914	948
43977	949
66755	950
44659	951
83931	952
14729	953
20510	954
4075	955
55404	956
38910	957
39309	958
16551	959
11380	960
46762	961
77034	962
16774	963
11115	964
86214	965
80712	966
55576	967
3752	968
18047	969
36995	970
22557	971
14809	972
67511	973
30827	974
83241	975
61289	976
32095	977
3172	978
51450	979
54123	980
70740	981
24346	982
85708	983
83341	984
53460	985
43308	986
56005	987
24572	988
64589	989
82946	990
13640	991
57877	992
76204	993
34812	994
59150	995
67084	996
97904	997
84900	998
14770	999
33623	1000
21611	1001
49318	1002
3693	1003
88709	1004
69895	1005
46266	1006
62580	1007
58715	1008
40203	1009
61105	1010
71780	1011
74426	1012
83338	1013
56026	1014
95693	1015
82517	1016
63896	1017
31520	1018
97813	1019
2917	1020
73892	1021
99734	1022
35985	1023
30344	1024
93958	1025
28935	1026
1363	1027
80111	1028
90393	1029
8766	1030
28127	1031
87364	1032
66536	1033
6020	1034
48290	1035
8965	1036
41393	1037
85058	1038
50439	1039
52449	1040
5208	1041
83157	1042
16845	1043
87958	1044
59039	1045
32337	1046
46909	1047
72776	1048
38823	1049
73735	1050
45213	1051
77387	1052
19516	1053
55728	1054
557	1055
77901	1056
82659	1057
91358	1058
30869	1059
92361	1060
67496	1061
32017	1062
95669	1063
61257	1064
30125	1065
8590	1066
11978	1067
11784	1068
47268	1069
65775	1070
41330	1071
82912	1072
22419	1073
2500	1074
26593	1075
8492	1076
34600	1077
71237	1078
54953	1079
4400	1080
44282	1081
28345	1082
84389	1083
89306	1084
47371	1085
38882	1086
81091	1087
75105	1088
13755	1089
15527	1090
24148	1091
10172	1092
66638	1093
73516	1094
19290	1095
79908	1096
5375	1097
1963	1098
5712	1099
50063	1100
85216	1101
72377	1102
86066	1103
53609	1104
57361	1105
70751	1106
47155	1107
86239	1108
98560	1109
37176	1110
52019	1111
86136	1112
18761	1113
10937	1114
92526	1115
24533	1116
48837	1117
93261	1118
79285	1119
9873	1120
3755	1121
54098	1122
19173	1123
43302	1124
9917	1125
94201	1126
69659	1127
97417	1128
61822	1129
62977	1130
37825	1131
26437	1132
62905	1133
17263	1134
46590	1135
46803	1136
25893	1137
24685	1138
24023	1139
5314	1140
84576	1141
21351	1142
77701	1143
86089	1144
48065	1145
61007	1146
24193	1147
18174	1148
11989	1149
66214	1150
511	1151
94142	1152
2344	1153
66656	1154
81810	1155
68889	1156
8653	1157
40811	1158
46751	1159
92259	1160
71941	1161
86758	1162
67969	1163
57070	1164
55508	1165
23934	1166
78960	1167
69528	1168
97725	1169
91328	1170
63588	1171
40111	1172
48144	1173
52990	1174
22523	1175
51220	1176
87168	1177
30643	1178
43571	1179
78521	1180
73849	1181
19394	1182
5935	1183
39889	1184
71174	1185
16711	1186
6336	1187
43115	1188
9947	1189
56449	1190
40232	1191
78380	1192
40994	1193
77126	1194
38338	1195
67817	1196
50337	1197
4768	1198
36186	1199
83752	1200
45236	1201
26492	1202
63009	1203
21222	1204
20922	1205
71777	1206
51825	1207
64577	1208
19613	1209
17255	1210
28308	1211
48556	1212
97595	1213
80292	1214
71632	1215
48409	1216
5470	1217
12487	1218
8226	1219
64306	1220
70773	1221
21189	1222
24955	1223
97497	1224
54661	1225
11055	1226
84813	1227
93579	1228
21446	1229
48608	1230
35209	1231
35782	1232
43830	1233
30188	1234
68629	1235
2058	1236
17385	1237
87347	1238
7332	1239
74428	1240
8710	1241
73609	1242
31898	1243
3341	1244
51870	1245
16230	1246
57237	1247
89116	1248
44314	1249
74213	1250
45911	1251
39996	1252
59092	1253
87321	1254
80595	1255
95142	1256
49815	1257
37604	1258
60901	1259
50553	1260
79404	1261
59545	1262
73875	1263
65401	1264
32648	1265
27830	1266
82850	1267
26179	1268
33223	1269
7640	1270
28692	1271
14370	1272
63948	1273
49233	1274
39622	1275
38063	1276
67850	1277
80956	1278
74853	1279
12428	1280
40478	1281
50868	1282
63116	1283
31753	1284
66037	1285
49583	1286
57429	1287
99066	1288
26780	1289
83766	1290
55908	1291
16580	1292
52863	1293
63913	1294
61705	1295
7481	1296
44697	1297
42326	1298
46623	1299
93820	1300
83470	1301
54758	1302
67328	1303
44458	1304
40495	1305
62367	1306
86926	1307
99068	1308
85789	1309
2773	1310
26254	1311
41276	1312
24372	1313
44470	1314
25339	1315
74006	1316
76957	1317
87747	1318
29355	1319
87206	1320
5583	1321
81893	1322
70243	1323
85755	1324
5097	1325
93781	1326
8902	1327
81168	1328
62987	1329
77788	1330
37879	1331
75354	1332
60967	1333
73510	1334
78349	1335
32194	1336
96760	1337
78919	1338
21539	1339
35683	1340
7692	1341
75881	1342
31950	1343
95080	1344
38137	1345
40951	1346
40071	1347
58542	1348
63875	1349
59937	1350
68671	1351
21054	1352
58111	1353
22700	1354
33844	1355
4814	1356
88134	1357
95562	1358
4997	1359
24611	1360
78778	1361
22827	1362
2699	1363
74403	1364
28253	1365
35962	1366
99001	1367
68773	1368
17742	1369
37685	1370
95322	1371
57683	1372
55931	1373
1870	1374
42114	1375
63471	1376
63873	1377
86754	1378
53290	1379
77305	1380
52811	1381
53869	1382
61566	1383
87826	1384
26793	1385
79337	1386
19368	1387
30649	1388
90300	1389
18085	1390
49782	1391
68031	1392
29950	1393
28192	1394
87491	1395
58717	1396
81358	1397
66692	1398
33834	1399
5453	1400
99518	1401
12561	1402
84684	1403
27487	1404
19161	1405
37923	1406
68774	1407
29659	1408
10753	1409
89120	1410
49313	1411
7588	1412
7364	1413
51613	1414
85439	1415
21901	1416
30724	1417
22116	1418
64132	1419
92315	1420
97845	1421
63155	1422
26252	1423
46377	1424
12397	1425
46833	1426
61432	1427
76069	1428
12311	1429
6756	1430
68324	1431
20042	1432
49329	1433
26390	1434
39022	1435
58559	1436
95194	1437
24914	1438
78268	1439
65977	1440
50584	1441
8040	1442
14581	1443
5842	1444
2218	1445
1573	1446
52005	1447
38349	1448
9185	1449
98940	1450
63885	1451
59515	1452
6755	1453
24594	1454
23216	1455
57662	1456
13678	1457
54703	1458
7045	1459
47431	1460
3023	1461
23624	1462
3993	1463
54222	1464
14545	1465
57783	1466
24905	1467
53354	1468
78116	1469
38741	1470
4300	1471
47084	1472
8536	1473
42932	1474
22474	1475
92626	1476
48873	1477
28366	1478
3727	1479
13549	1480
31879	1481
67737	1482
57737	1483
10577	1484
21191	1485
91476	1486
44860	1487
20594	1488
75203	1489
38162	1490
99775	1491
36174	1492
9517	1493
88240	1494
37018	1495
84844	1496
7569	1497
77390	1498
41902	1499
16749	1500
63112	1501
35689	1502
92935	1503
77772	1504
26047	1505
67254	1506
3834	1507
38869	1508
95218	1509
28955	1510
16276	1511
82215	1512
34142	1513
38812	1514
49703	1515
58633	1516
56143	1517
72992	1518
42632	1519
69199	1520
50219	1521
29915	1522
98389	1523
54334	1524
58599	1525
75659	1526
70696	1527
43342	1528
4171	1529
46926	1530
48680	1531
87496	1532
34511	1533
46385	1534
29513	1535
35439	1536
98415	1537
73558	1538
50671	1539
59730	1540
13768	1541
8238	1542
44422	1543
23814	1544
24542	1545
27644	1546
99972	1547
86351	1548
47027	1549
30389	1550
79438	1551
84619	1552
65452	1553
4970	1554
58740	1555
21103	1556
95030	1557
89684	1558
61258	1559
6669	1560
34556	1561
63936	1562
12759	1563
2040	1564
58977	1565
47637	1566
12746	1567
12463	1568
92991	1569
50416	1570
95710	1571
58471	1572
1446	1573
56494	1574
82351	1575
49455	1576
31775	1577
79843	1578
77945	1579
30481	1580
72845	1581
410	1582
90805	1583
86920	1584
1877	1585
84999	1586
15328	1587
79787	1588
44085	1589
48199	1590
89172	1591
63613	1592
70097	1593
52758	1594
18781	1595
86460	1596
8027	1597
30336	1598
71107	1599
19638	1600
88485	1601
897	1602
39100	1603
38502	1604
55367	1605
22773	1606
77817	1607
36170	1608
59234	1609
21744	1610
50658	1611
17355	1612
55195	1613
33279	1614
83899	1615
3913	1616
69452	1617
29546	1618
28745	1619
54922	1620
57609	1621
45489	1622
90163	1623
73844	1624
45858	1625
95822	1626
14150	1627
97417	1628
24540	1629
90394	1630
37213	1631
73068	1632
22178	1633
14994	1634
48379	1635
75010	1636
65176	1637
66095	1638
7269	1639
22720	1640
11178	1641
37099	1642
30045	1643
33971	1644
80829	1645
92695	1646
88015	1647
66144	1648
52984	1649
91495	1650
80042	1651
83421	1652
93872	1653
98393	1654
3656	1655
72543	1656
62108	1657
10676	1658
51530	1659
61937	1660
25211	1661
19862	1662
41326	1663
29120	1664
47888	1665
72730	1666
4491	1667
78668	1668
7754	1669
97901	1670
4132	1671
91037	1672
53457	1673
59878	1674
67596	1675
87974	1676
99328	1677
16735	1678
23242	1679
55180	1680
4767	1681
74350	1682
8145	1683
41045	1684
94759	1685
40225	1686
84891	1687
19201	1688
55195	1689
67955	1690
60892	1691
76834	1692
28664	1693
77275	1694
68140	1695
64136	1696
66492	1697
13042	1698
92025	1699
63610	1700
1884	1701
71817	1702
65146	1703
96337	1704
77682	1705
9011	1706
58065	1707
99614	1708
99211	1709
85361	1710
24119	1711
23297	1712
81502	1713
41622	1714
66611	1715
49815	1716
66758	1717
75158	1718
425	1719
17654	1720
15160	1721
97267	1722
69518	1723
71448	1724
10903	1725
51730	1726
82729	1727
74693	1728
4896	1729
77264	1730
8963	1731
70059	1732
68521	1733
68755	1734
71494	1735
50346	1736
17570	1737
40581	1738
17814	1739
14462	1740
51553	1741
25879	1742
69542	1743
12308	1744
38399	1745
63876	1746
23237	1747
393	1748
64319	1749
51775	1750
653	1751
64172	1752
3687	1753
72916	1754
14611	1755
28001	1756
45424	1757
82001	1758
84847	1759
29307	1760
37031	1761
74698	1762
51944	1763
97084	1764
42478	1765
53263	1766
70143	1767
54382	1768
6245	1769
17058	1770
49531	1771
24335	1772
17628	1773
17644	1774
35792	1775
79974	1776
3616	1777
38414	1778
63742	1779
16101	1780
25728	1781
90079	1782
25706	1783
4969	1784
33078	1785
34572	1786
97337	1787
57802	1788
11174	1789
93699	1790
51718	1791
34833	1792
56261	1793
54759	1794
97891	1795
32833	1796
46200	1797
27580	1798
93711	1799
9813	1800
14157	1801
64765	1802
69427	1803
31398	1804
33186	1805
68124	1806
68417	1807
14381	1808
13172	1809
12612	1810
56627	1811
59558	1812
3827	1813
34122	1814
86280	1815
15611	1816
49968	1817
76539	1818
76625	1819
98274	1820
9117	1821
75434	1822
34797	1823
74371	1824
7873	1825
42435	1826
36399	1827
55303	1828
3277	1829
52931	1830
64058	1831
70083	1832
35072	1833
66651	1834
97259	1835
46766	1836
78439	1837
33108	1838
896	1839
88924	1840
39759	1841
36917	1842
2376	1843
76230	1844
75126	1845
96233	1846
67032	1847
23129	1848
95778	1849
67471	1850
72275	1851
23723	1852
8719	1853
55042	1854
73159	1855
44064	1856
15351	1857
89368	1858
52497	1859
63396	1860
14110	1861
86888	1862
76977	1863
59535	1864
84286	1865
94430	1866
85925	1867
53719	1868
29967	1869
1374	1870
14815	1871
90624	1872
47026	1873
30699	1874
25468	1875
48465	1876
1585	1877
9406	1878
91022	1879
31408	1880
95392	1881
89686	1882
6339	1883
37112	1884
21005	1885
74563	1886
48475	1887
62387	1888
54743	1889
65235	1890
42788	1891
16380	1892
6284	1893
96443	1894
64816	1895
14524	1896
63386	1897
14416	1898
5659	1899
15090	1900
38862	1901
12256	1902
68899	1903
41964	1904
73836	1905
74684	1906
89132	1907
17682	1908
21531	1909
510	1910
73915	1911
91559	1912
78540	1913
49372	1914
96294	1915
3403	1916
44980	1917
92919	1918
10237	1919
23961	1920
3926	1921
95414	1922
85807	1923
629	1924
27427	1925
300	1926
72103	1927
3911	1928
65159	1929
86193	1930
26770	1931
98592	1932
98318	1933
76118	1934
30092	1935
65533	1936
3661	1937
41252	1938
12374	1939
96888	1940
84586	1941
57279	1942
45379	1943
14616	1944
26133	1945
78759	1946
38539	1947
6318	1948
89242	1949
20899	1950
92405	1951
34033	1952
70645	1953
23679	1954
6945	1955
52989	1956
96608	1957
41533	1958
37839	1959
88559	1960
82029	1961
82544	1962
65432	1963
25228	1964
48358	1965
18063	1966
92582	1967
52214	1968
99451	1969
81050	1970
35058	1971
98186	1972
43251	1973
71786	1974
93940	1975
290	1976
54459	1977
80326	1978
68933	1979
45965	1980
30795	1981
59703	1982
78024	1983
37877	1984
21036	1985
85413	1986
9543	1987
20894	1988
20673	1989
75607	1990
1185	1991
6529	1992
82275	1993
70079	1994
47987	1995
9372	1996
67451	1997
35846	1998
55930	1999
66385	2000
25427	2001
86703	2002
60333	2003
8559	2004
61461	2005
83695	2006
23738	2007
88428	2008
57039	2009
27792	2010
22317	2011
80671	2012
62060	2013
29901	2014
59657	2015
10294	2016
53563	2017
83496	2018
24813	2019
97834	2020
95285	2021
34018	2022
9905	2023
9641	2024
69406	2025
64766	2026
21096	2027
6862	2028
35966	2029
29651	2030
73458	2031
39164	2032
72350	2033
66501	2034
39138	2035
6147	2036
84981	2037
58458	2038
21596	2039
1564	2040
63061	2041
88214	2042
59475	2043
42632	2044
